tprop,fer,infosize,time
230400,0,0.0,256,3.1896605491638184
230400,0,0.0,512,3.0506632328033447
230400,0,0.0,1024,2.9828038215637207
230400,0,0.0,2048,2.951589345932007
230400,0,0.01,256,3.19063138961792
230400,0,0.01,512,3.0514442920684814
230400,0,0.01,1024,2.9828040599823
230400,0,0.01,2048,2.95180606842041
230400,0,0.05,256,3.1902451515197754
230400,0,0.05,512,3.190579891204834
230400,0,0.05,1024,3.255425453186035
230400,0,0.05,2048,2.9518544673919678
230400,0,0.1,256,7.3344902992248535
230400,0,0.1,512,9.742677450180054
230400,0,0.1,1024,nan
230400,0,0.1,2048,4.9519126415252686
230400,200000,0.0,256,22.592714548110962
230400,200000,0.0,512,13.652373313903809
230400,200000,0.0,1024,9.183183670043945
230400,200000,0.0,2048,7.15226149559021
230400,200000,0.01,256,23.0641930103302
230400,200000,0.01,512,14.19107699394226
230400,200000,0.01,1024,9.183509349822998
230400,200000,0.01,2048,7.1520891189575195
230400,200000,0.05,256,25.536853075027466
230400,200000,0.05,512,14.13738226890564
230400,200000,0.05,1024,9.183004140853882
230400,200000,0.05,2048,7.565973520278931
230400,200000,0.1,256,26.010743856430054
230400,200000,0.1,512,13.652193546295166
230400,200000,0.1,1024,15.791808843612671
230400,200000,0.1,2048,10.696758031845093
230400,1000000,0.0,256,94.1191771030426
230400,1000000,0.0,512,50.17782735824585
230400,1000000,0.0,1024,28.30787491798401
230400,1000000,0.0,2048,18.572653770446777
230400,1000000,0.01,256,96.12126278877258
230400,1000000,0.01,512,50.18032431602478
230400,1000000,0.01,1024,28.307795524597168
230400,1000000,0.01,2048,18.574451208114624
230400,1000000,0.05,256,95.11926507949829
230400,1000000,0.05,512,54.182291984558105
230400,1000000,0.05,1024,29.309357166290283
230400,1000000,0.05,2048,18.575864553451538
230400,1000000,0.1,256,nan
230400,1000000,0.1,512,54.18268871307373
230400,1000000,0.1,1024,28.298773288726807
230400,1000000,0.1,2048,19.019939661026
